from_stop,AB,AI,AJ,BD,BS,BT,BY,CK,CN,CW,DT,DV,EH,EM,FA,FG,FJ,FW,GC,GG,GN,GP,HF,HS,HZ,IB,II,IX,JB,JX,KD,KO,KR,KU,LG,LS,LT,LU,ML,MP,MW,NN,NP,NU,NY,OM,OX,OY,PI,PP,PY,QF,QI,RP,RR,RU,SB,SD,SP,SV,TK,TN,TP,TT,UC,UE,UK,UO,VB,VC,VD,WA,WC,WG,WH,WM,WN,WO,WT,XD,XW,YE,YG,YI,YV,YY,ZW,ZX
WM,267.5,126.5,551.6,389.7,256.4,283.6,485.7,496.3,154.2,470.5,8.9,166.2,172.4,360.0,171.3,569.1,654.1,584.8,363.5,181.8,589.8,144.2,193.3,44.4,388.4,214.1,541.5,118.5,314.1,69.4,185.2,599.0,228.1,304.0,331.3,285.4,101.3,559.2,178.5,141.8,100.8,393.5,461.0,591.9,302.6,66.5,665.3,352.2,73.1,433.1,347.2,140.1,134.9,188.3,612.7,181.2,558.6,214.0,176.8,618.9,319.6,465.3,169.6,186.1,310.0,84.7,513.3,281.4,592.3,577.3,568.4,36.1,112.2,306.2,570.7,0.0,254.7,518.2,182.2,563.1,638.2,158.3,116.2,203.0,531.8,1517.8,517.5,547.9
WN,184.2,153.1,334.7,146.4,303.1,142.9,242.4,253.0,382.4,227.2,256.7,171.7,249.1,504.0,170.3,325.8,445.9,341.5,120.2,160.3,399.8,206.9,147.3,287.2,145.1,126.2,324.6,195.1,458.1,252.0,147.3,406.7,267.1,163.3,475.3,202.1,312.6,315.9,271.3,264.5,223.9,150.2,213.4,348.6,212.2,286.3,448.4,108.9,301.3,189.8,198.7,394.6,320.1,265.0,369.4,125.3,413.1,260.7,108.8,387.2,249.2,222.0,262.4,191.6,402.8,274.1,296.4,198.1,402.3,387.3,403.6,289.7,188.8,222.9,353.8,267.7,0.0,274.9,91.5,327.8,430.0,302.3,157.2,210.8,314.9,1376.2,300.6,304.6
WO,242.8,370.7,130.6,119.8,520.7,360.5,48.2,106.2,600.0,45.1,474.3,389.3,466.7,721.6,387.9,50.8,173.5,83.4,199.9,377.9,187.5,424.5,364.9,504.8,224.8,343.8,158.3,412.7,675.7,469.6,364.9,134.3,349.8,380.9,692.9,222.2,530.2,40.9,488.9,482.1,454.1,153.9,284.2,73.6,237.3,503.9,311.8,188.6,518.9,269.5,224.7,612.2,537.7,482.6,94.4,342.9,140.7,478.3,326.4,114.8,189.2,50.3,480.0,409.2,620.4,491.7,204.7,226.9,139.4,175.0,131.2,507.3,406.4,201.4,217.2,485.3,376.4,0.0,309.1,101.6,157.6,519.9,374.8,428.4,122.9,1399.9,137.1,29.6
WT,229.7,61.5,383.3,207.4,211.5,101.3,303.4,314.0,295.6,288.2,165.1,80.1,157.5,356.5,78.7,386.8,509.3,402.5,181.2,68.7,460.8,145.3,63.8,171.2,206.1,84.6,373.2,133.5,396.5,190.4,55.7,470.0,190.3,121.7,327.8,247.6,221.2,376.9,179.7,188.7,132.3,211.2,265.5,409.6,273.2,194.7,497.0,169.9,239.7,250.8,259.7,278.2,254.8,173.4,430.4,33.7,476.5,169.1,47.2,450.6,281.8,283.0,170.8,100.0,311.2,182.5,345.0,243.6,463.3,448.3,467.0,213.9,127.2,268.4,402.4,176.1,216.9,335.9,0.0,388.8,493.4,240.7,95.6,119.2,363.5,1472.9,349.2,365.6
XD,280.0,407.9,87.7,157.0,557.9,395.8,98.0,143.4,635.3,80.0,509.6,426.5,502.0,593.5,423.2,87.6,204.3,33.5,237.1,415.1,198.9,461.7,402.1,547.5,262.0,379.1,77.6,449.9,694.5,506.8,400.2,165.1,385.1,416.2,564.8,259.4,580.1,77.7,526.1,519.3,502.0,191.1,321.4,109.9,274.5,545.3,252.1,225.8,554.2,304.8,261.9,647.5,574.9,517.9,131.2,384.9,166.0,515.5,361.7,151.6,226.4,100.2,517.2,446.4,605.0,529.1,90.3,262.2,165.2,191.9,162.0,544.5,425.2,236.7,159.4,522.5,413.6,165.3,346.3,0.0,195.6,557.1,412.0,465.6,36.7,1431.5,90.9,84.8
XW,276.5,458.0,142.1,207.1,608.0,447.8,119.1,196.4,625.2,134.9,513.6,476.6,545.2,758.4,475.2,119.9,14.7,127.5,287.2,465.2,78.1,461.3,452.2,519.7,312.1,431.1,209.4,449.5,712.5,524.4,452.2,87.3,383.5,468.2,729.7,255.9,567.0,110.0,616.5,518.9,480.8,241.2,371.5,85.8,265.7,543.3,323.3,275.9,578.5,356.8,312.0,594.4,574.5,562.5,89.1,430.2,109.6,565.6,413.7,127.5,222.9,140.5,607.6,496.5,697.1,529.4,255.8,260.6,71.3,65.3,100.1,544.1,443.2,235.1,210.2,524.6,410.1,218.3,396.4,165.4,0.0,556.7,411.6,515.7,174.0,1375.4,212.4,248.0
YE,295.6,172.6,582.3,424.4,225.8,300.3,520.4,531.0,76.4,505.2,171.2,212.3,141.8,201.6,140.7,591.8,682.2,606.4,399.0,151.2,617.9,95.6,239.4,206.7,423.9,260.2,572.2,109.7,155.7,203.8,231.3,627.1,256.2,320.7,172.9,313.5,92.3,581.9,116.5,127.6,162.1,428.2,483.3,614.6,330.7,77.6,696.0,387.7,170.0,468.6,375.3,161.1,25.7,157.7,628.9,186.5,586.7,183.4,204.9,604.3,347.7,500.0,107.6,232.2,140.3,65.4,544.0,309.5,620.4,605.4,596.5,152.8,117.3,334.3,601.4,162.2,282.8,552.9,228.3,593.8,666.3,0.0,144.3,207.1,562.5,1485.0,548.2,582.6
YG,151.2,63.8,437.9,280.0,261.1,155.9,376.0,386.6,213.5,360.8,101.9,103.5,177.1,346.7,176.0,447.4,537.8,462.0,254.6,153.5,473.5,49.6,130.6,108.0,279.5,151.4,427.8,37.8,300.8,129.9,122.5,482.7,111.8,176.3,318.0,169.1,155.3,437.5,204.8,107.2,69.1,283.8,338.9,469.7,186.3,132.9,551.6,243.3,179.2,324.2,230.9,216.4,162.8,193.0,484.5,118.5,442.3,218.7,60.5,459.9,203.3,355.6,195.9,123.4,285.4,120.7,399.6,165.1,476.0,461.0,452.1,132.4,31.5,189.9,457.0,112.9,138.4,408.5,119.5,449.4,521.9,145.0,0.0,140.3,418.1,1413.1,403.8,438.2
YI,382.8,159.8,485.2,360.5,157.4,254.4,456.5,467.1,183.7,441.3,260.4,178.4,177.0,297.1,72.3,539.9,611.2,522.4,334.3,82.8,613.9,194.2,182.1,269.5,359.2,202.9,475.1,217.3,277.2,276.5,174.0,572.0,343.4,274.8,268.4,400.7,116.0,530.0,86.3,208.2,230.6,364.3,394.6,562.2,426.3,101.3,598.9,323.0,178.8,402.2,412.8,184.8,149.6,192.9,583.5,118.1,578.4,115.0,200.3,552.5,434.9,436.1,77.4,198.3,217.8,89.1,446.9,396.7,577.1,601.4,568.9,233.4,211.0,421.5,504.3,251.4,370.0,489.0,153.0,496.7,595.3,131.4,248.7,0.0,465.4,1418.8,451.1,518.7
YV,312.3,440.2,96.1,189.3,590.2,331.8,117.7,175.7,669.5,114.2,538.8,458.8,536.2,559.5,457.4,104.3,222.1,52.1,269.4,447.4,223.0,494.0,434.4,574.3,294.3,412.8,35.3,482.2,573.0,539.1,434.4,182.9,419.3,352.2,530.8,291.7,599.7,94.4,558.4,551.6,515.2,223.4,353.7,130.2,306.8,572.1,209.8,258.1,593.2,193.6,294.2,681.7,607.2,552.1,147.9,419.1,189.3,547.8,395.9,163.4,258.7,119.8,549.5,478.7,569.1,561.2,87.2,296.4,195.7,210.2,179.8,576.8,475.9,270.9,96.7,554.8,445.9,197.6,378.6,32.2,207.4,589.4,444.3,497.9,0.0,1389.2,38.3,117.1
YY,1501.9,1517.3,1497.6,1439.9,1555.6,1497.4,1504.7,1582.0,1486.2,1520.9,1508.6,1557.0,1559.5,1627.6,1558.4,1505.5,1361.2,1497.1,1447.7,1568.9,1425.4,1531.3,1588.0,1513.0,1460.3,1566.9,1478.8,1491.3,1615.7,1477.8,1521.2,1349.4,1466.5,1517.8,1598.9,1519.8,1488.4,1495.6,1542.2,1563.3,1533.6,1474.0,1475.6,1433.6,1537.0,1453.6,1338.2,1459.0,1461.3,1460.7,1581.6,1415.9,1522.0,1575.4,1436.4,1544.3,1324.5,1513.2,1488.2,1340.1,1447.4,1526.1,1533.3,1576.9,1646.8,1471.8,1450.6,1515.8,1354.5,1412.9,1334.3,1499.6,1485.0,1459.6,1471.1,1499.6,1493.1,1603.9,1510.5,1538.3,1345.3,1545.4,1453.4,1624.8,1469.1,0.0,1454.8,1633.6
ZW,340.1,468.0,94.8,217.1,618.0,330.5,145.5,203.5,697.3,142.0,566.6,486.6,555.2,558.2,485.2,132.1,220.8,79.9,297.2,475.2,224.3,521.8,370.3,602.1,322.1,348.7,37.4,510.0,571.7,566.9,354.3,181.6,447.1,350.9,529.5,319.5,627.5,122.2,586.2,579.4,551.4,251.2,278.0,154.9,334.6,599.9,208.5,285.9,616.2,192.3,322.0,664.5,635.0,579.9,175.7,440.2,188.0,575.6,423.7,162.1,286.5,147.6,577.3,506.5,567.8,586.0,89.3,324.2,194.4,229.8,178.5,604.6,503.7,298.7,113.9,582.6,473.7,225.4,406.4,70.3,206.1,617.2,472.1,525.7,27.7,1387.9,0.0,144.9
ZX,271.9,405.9,100.9,155.0,555.9,395.7,64.1,141.4,635.2,80.3,509.0,424.5,501.9,753.8,423.1,21.1,143.8,53.7,235.1,413.1,157.8,456.7,400.1,540.0,260.0,379.0,128.6,444.9,707.9,504.8,400.1,104.6,378.9,416.1,725.1,251.3,562.4,11.2,524.1,514.3,480.4,189.1,319.4,43.9,272.5,539.1,282.1,223.8,554.1,304.7,259.9,647.4,569.9,517.8,64.7,378.1,111.0,513.5,361.6,85.1,218.3,85.5,515.2,444.4,655.6,526.9,175.0,256.0,109.7,145.3,101.5,539.5,438.6,230.5,187.5,520.0,405.5,163.3,344.3,71.9,127.9,552.1,407.0,463.6,93.2,1371.8,107.4,0.0
