from_stop,AH,AJ,BG,BK,BT,BU,BV,CE,CG,CJ,CK,CN,CO,CP,DA,DQ,DZ,EG,EK,EQ,ER,FB,FF,FM,FQ,GV,GW,GZ,HN,HO,HP,IF,JM,KE,KF,KI,KL,KP,KV,KW,LQ,LW,MC,MH,MM,MO,MV,NA,ND,NH,NN,NO,NS,NT,OB,OC,OH,OI,OK,ON,OV,OW,OY,PE,PR,PX,QI,QN,QP,QS,RH,RI,RX,SG,SI,SJ,TC,TD,TT,TZ,UD,UJ,UP,UW,UZ,VL,VT,WA,WD,WW,XG,YR,YZ,ZJ,ZU
QS,294.2,86.4,253.1,62.6,567.7,120.3,165.4,472.8,253.0,217.2,238.6,306.5,273.7,213.6,250.6,106.3,270.8,411.5,493.6,201.7,164.1,537.0,173.4,13.9,476.0,216.6,506.1,535.5,66.7,498.7,1456.7,138.9,58.7,604.2,140.1,511.6,122.1,258.1,215.8,617.2,126.7,224.4,111.9,208.8,134.7,376.7,153.9,175.9,136.8,213.2,207.9,158.9,99.9,203.1,93.6,306.6,163.2,70.5,523.7,197.1,112.9,545.9,481.5,427.8,559.3,191.8,124.0,164.7,492.7,0.0,520.6,131.2,161.0,210.7,540.1,267.3,132.3,56.2,532.8,569.4,48.7,651.0,507.8,209.5,186.1,143.6,549.3,84.7,628.9,179.9,182.5,445.5,667.1,192.9,184.6
RH,396.1,507.1,537.5,487.5,238.3,547.9,451.5,208.5,402.9,367.1,346.3,172.6,423.6,407.9,358.3,475.1,420.7,106.1,233.0,367.0,336.9,207.6,441.5,441.5,116.9,448.9,244.9,10.6,455.3,111.0,1386.4,425.0,492.8,219.4,431.3,95.2,524.8,412.8,500.2,238.1,537.6,401.4,460.2,476.3,461.7,95.5,496.7,465.0,458.8,302.5,497.0,505.4,527.5,416.9,429.8,384.5,449.3,497.7,262.5,457.0,514.2,166.8,62.4,122.4,180.2,476.2,456.3,449.1,203.9,434.0,0.0,425.6,507.2,453.2,256.5,417.7,554.8,477.0,122.3,294.4,459.9,258.8,88.7,470.1,421.7,498.3,265.7,437.8,250.3,607.5,532.0,184.3,268.5,422.4,414.1
RI,190.9,126.0,257.4,102.2,530.7,180.8,171.4,372.2,211.7,175.9,141.1,209.0,232.4,119.2,153.1,129.7,229.5,314.0,396.7,110.5,170.1,500.0,161.4,47.0,411.8,168.8,408.6,439.4,106.3,389.2,1447.0,144.9,98.3,528.4,34.7,373.4,150.4,221.6,220.1,547.1,166.3,112.7,114.8,196.2,36.0,279.2,191.0,208.1,164.1,167.0,233.9,184.9,158.5,128.2,114.5,179.3,169.2,103.2,426.2,236.7,88.5,475.8,358.6,330.3,489.2,196.1,126.5,169.0,385.6,39.5,428.8,0.0,188.3,173.1,442.6,215.5,129.1,82.5,418.5,468.3,34.2,567.8,384.9,249.8,141.6,152.9,451.8,105.6,559.3,174.1,191.8,348.0,577.5,77.0,68.7
RX,232.4,126.1,213.2,75.4,527.8,166.9,103.6,403.6,191.2,155.4,172.5,240.4,211.9,153.7,184.5,81.0,209.0,345.4,428.2,139.9,102.3,497.1,113.8,138.7,212.7,119.0,440.0,495.6,43.2,458.8,1503.6,77.1,108.7,564.3,125.2,471.7,155.1,200.5,175.9,577.3,166.7,162.6,66.1,186.1,152.4,310.6,184.7,153.2,115.4,151.4,185.2,136.2,146.5,141.3,31.8,244.8,101.4,120.5,457.6,247.1,204.9,506.0,441.6,361.7,519.4,151.9,25.8,143.3,426.6,124.7,480.7,116.3,0.0,123.3,474.0,205.5,178.9,106.2,492.9,499.7,162.0,611.1,467.9,259.5,79.1,104.2,483.2,25.3,589.0,226.5,143.1,379.4,627.2,113.1,104.8
SG,251.1,93.9,156.3,138.7,488.9,134.7,122.3,420.3,209.9,174.1,189.2,280.6,230.6,172.4,201.2,144.3,227.7,362.1,444.8,140.6,121.0,458.2,15.9,184.5,397.2,5.9,456.7,452.4,106.5,419.9,1353.8,95.8,172.0,519.7,174.3,432.8,111.6,219.8,137.0,538.4,84.3,181.3,129.4,23.0,204.7,327.3,102.3,33.0,45.6,200.3,89.2,52.1,114.3,160.0,80.6,263.5,159.0,176.9,456.7,127.2,257.2,467.1,402.7,378.4,480.5,113.0,107.1,55.9,433.7,177.0,441.8,168.6,94.0,0.0,490.7,224.7,146.7,156.2,462.6,516.4,202.9,535.9,429.0,140.3,59.3,90.0,499.9,88.6,550.6,194.3,78.7,396.1,545.6,165.4,157.1
SI,584.2,724.3,754.7,705.1,337.2,765.1,668.7,365.9,591.0,555.2,534.4,328.0,611.7,625.1,546.4,705.3,608.8,307.7,221.2,584.2,667.4,306.5,658.7,671.7,272.3,666.1,233.1,310.5,672.9,209.3,1289.5,642.2,723.0,128.5,661.5,222.2,742.0,600.9,717.4,147.2,650.0,618.6,690.4,693.5,691.9,317.1,650.0,602.2,676.0,556.4,650.3,621.3,744.7,634.1,647.0,572.6,666.5,727.9,233.1,610.3,744.4,153.9,362.4,324.0,144.0,693.4,673.5,666.3,324.8,664.2,299.9,655.8,724.4,670.4,0.0,605.8,777.1,707.2,422.3,274.8,690.1,96.3,388.7,623.4,638.9,720.4,9.2,655.0,159.4,724.9,647.9,341.7,106.0,652.6,644.3
SJ,26.9,313.2,335.5,280.5,503.7,347.4,249.5,345.2,72.9,58.2,74.8,123.8,93.6,162.4,89.5,293.3,32.0,287.0,370.2,195.6,248.2,473.0,239.5,234.5,455.0,246.9,381.6,416.7,248.3,362.2,1605.1,223.0,285.8,501.4,227.5,346.4,342.2,24.1,298.2,520.1,353.8,155.8,253.2,274.3,254.7,252.2,371.8,284.3,256.8,210.2,372.3,323.3,327.0,171.4,252.9,39.3,247.3,290.7,383.1,424.2,307.2,448.8,331.6,303.3,462.2,274.2,264.9,247.1,368.2,227.0,401.8,218.6,326.7,251.2,415.6,0.0,347.8,283.3,416.8,441.7,264.3,540.8,357.9,436.6,207.0,291.3,424.8,244.0,531.8,392.8,330.2,321.0,550.5,215.4,207.1
TC,356.8,49.7,216.4,107.5,531.0,51.6,228.0,544.9,315.6,279.8,279.3,322.7,336.3,276.2,291.0,69.6,333.4,452.2,565.7,230.7,226.7,500.3,138.4,192.0,439.3,145.8,578.2,498.8,129.6,462.0,1389.7,201.5,158.8,561.8,185.0,474.9,85.4,320.7,179.1,580.5,108.0,287.0,174.8,188.8,165.2,459.9,132.7,162.1,100.1,242.4,187.9,138.9,29.3,265.7,156.2,369.2,219.1,163.7,578.2,174.1,135.7,509.2,444.8,467.0,522.6,155.1,160.6,128.0,546.8,184.5,483.9,176.1,124.3,190.7,612.2,329.9,0.0,97.3,522.5,641.5,130.2,614.3,471.1,186.5,139.0,106.9,621.4,147.6,592.2,59.9,145.8,517.6,624.0,237.5,229.2
TD,337.2,30.1,196.8,87.9,511.4,64.0,208.4,522.2,296.0,260.2,259.7,303.1,316.7,256.6,271.7,170.1,313.8,432.6,546.7,211.1,207.1,480.7,118.8,172.4,419.7,160.3,558.6,479.2,110.0,442.4,1400.4,181.9,139.2,547.9,165.4,455.3,65.8,301.1,159.5,560.9,70.4,267.4,155.2,152.5,192.6,440.3,97.6,119.6,80.5,222.8,151.6,102.6,43.6,246.1,136.6,349.6,199.5,144.1,558.6,140.8,211.8,489.6,425.2,448.9,503.0,135.5,130.6,108.4,527.2,164.9,464.3,156.5,104.7,154.4,592.6,310.3,76.0,0.0,485.1,618.3,202.2,594.7,451.5,153.2,129.8,87.3,601.8,128.0,572.6,123.6,126.2,498.0,610.8,217.9,209.6
TT,255.9,384.7,415.1,365.1,418.9,400.2,329.1,263.5,289.1,244.7,223.9,266.5,301.2,286.8,235.6,364.0,298.3,202.2,284.3,244.6,327.8,388.2,321.3,325.6,198.5,326.5,296.8,306.6,307.6,259.6,1583.6,302.6,370.4,422.3,320.7,261.6,422.3,285.6,360.0,435.3,415.2,261.1,337.8,353.9,339.3,167.4,435.7,388.1,336.4,333.3,420.1,357.7,405.1,294.5,289.6,262.1,326.9,382.2,271.5,458.1,400.4,364.0,246.8,193.2,352.1,353.8,352.3,326.7,258.1,320.2,317.0,303.2,384.8,330.8,330.8,294.8,432.4,367.9,0.0,360.1,348.9,456.0,273.1,452.7,286.6,384.5,341.0,315.4,421.7,485.1,384.3,236.2,480.7,300.0,294.1
TZ,420.8,531.8,562.6,512.2,259.0,569.4,476.2,100.5,427.6,391.8,371.0,194.1,448.7,432.6,383.0,508.7,445.4,201.5,124.8,391.7,361.6,228.3,466.2,466.2,141.6,473.6,136.9,36.3,480.4,132.5,1411.1,449.7,517.5,244.1,456.0,119.9,557.6,434.3,521.7,262.8,562.3,422.8,484.9,501.0,486.4,120.2,521.4,486.5,480.3,324.0,518.5,530.5,552.2,441.6,451.3,409.2,474.4,522.4,133.7,481.7,538.9,191.5,87.1,214.6,201.7,500.9,491.4,470.6,102.3,458.7,24.6,450.3,528.7,477.9,170.9,442.3,576.3,515.4,147.0,0.0,484.6,283.5,113.4,490.9,446.4,519.8,180.5,462.5,271.3,632.2,553.5,76.3,290.0,447.1,438.8
UD,333.2,136.8,292.1,113.0,618.1,170.7,215.8,428.7,292.0,267.6,194.5,262.4,324.1,173.9,206.2,157.5,321.2,367.4,449.5,163.9,214.5,587.4,226.0,64.3,234.7,267.0,462.0,578.3,105.7,459.5,1467.8,189.3,109.1,587.5,113.8,426.8,161.1,308.5,266.2,600.5,177.1,263.4,162.3,259.2,63.4,332.6,204.3,226.3,187.2,252.2,258.3,209.3,150.3,253.5,144.0,232.7,202.2,120.9,484.5,247.5,64.1,529.2,531.9,406.2,565.1,242.2,174.4,203.7,448.6,178.6,571.0,53.3,200.0,261.1,496.0,306.3,171.3,106.6,617.1,525.3,0.0,621.2,558.2,248.5,226.1,194.0,506.2,135.1,612.2,194.9,232.9,401.4,640.6,130.4,124.5
UJ,528.4,639.4,669.8,619.8,187.5,680.2,583.8,208.1,535.2,499.4,478.6,284.3,555.9,540.2,490.6,607.4,553.0,299.7,213.2,499.3,469.2,156.8,573.8,573.8,228.6,581.2,225.1,142.8,587.6,165.6,1352.2,557.3,625.1,32.1,563.6,178.5,657.1,545.1,632.5,50.8,669.9,533.7,592.5,608.6,594.0,227.8,629.0,618.6,591.1,434.8,629.3,637.7,659.8,549.2,562.1,516.8,581.6,630.0,225.1,589.3,646.5,132.6,194.7,316.0,146.0,608.5,588.6,581.4,203.5,566.3,132.2,557.9,639.5,585.5,87.2,550.0,687.1,609.3,254.6,107.1,592.2,0.0,221.0,602.4,554.0,630.6,96.4,570.1,63.0,739.8,664.3,183.9,9.6,554.7,546.4
UP,307.3,418.3,448.7,398.7,452.5,459.1,362.7,294.0,314.1,278.3,257.5,100.4,334.8,319.1,269.5,386.3,331.9,235.8,318.5,278.2,361.4,421.8,352.7,352.7,316.9,360.1,330.4,361.2,366.5,311.0,1617.2,336.2,404.0,450.2,342.5,295.2,436.0,324.0,411.4,468.9,448.8,312.6,371.4,387.5,372.9,201.0,466.8,397.5,370.0,366.9,453.7,416.6,438.7,328.1,341.0,295.7,360.5,408.9,330.4,491.7,425.4,397.6,280.4,252.1,411.0,387.4,367.5,360.3,307.4,345.2,350.6,336.8,418.4,364.4,364.4,328.9,466.0,388.2,33.5,390.1,371.1,489.6,0.0,504.8,332.9,409.5,373.6,349.0,481.1,518.7,443.2,269.8,499.3,333.6,325.3
UW,350.3,67.6,227.6,100.7,542.2,92.3,221.5,510.9,309.1,273.3,276.7,333.9,329.8,269.7,288.7,80.8,326.9,449.6,531.7,241.9,220.2,511.5,120.4,185.2,450.5,110.4,544.2,513.8,122.8,477.7,1364.1,195.0,152.0,578.7,178.2,486.1,78.6,314.2,190.3,591.7,27.2,280.5,168.0,102.6,205.4,414.8,29.7,69.7,111.3,253.6,101.7,52.7,88.0,259.2,149.7,362.7,219.3,156.9,544.2,122.5,256.2,520.4,456.0,465.9,533.8,166.3,161.4,139.2,558.0,177.7,495.1,169.3,135.5,104.5,578.2,323.4,120.4,149.5,515.9,603.9,203.6,625.5,482.3,0.0,160.6,118.1,587.4,140.8,603.4,126.1,77.6,483.6,641.6,248.7,240.4
UZ,202.1,144.1,88.9,93.4,481.8,184.9,57.6,378.1,160.9,163.6,143.9,234.7,181.6,160.0,155.6,123.4,217.2,316.8,398.9,95.3,110.5,451.1,56.0,145.7,184.1,61.2,411.4,449.6,57.5,417.3,1419.4,50.5,126.7,518.3,128.5,425.7,169.4,204.5,129.9,531.3,184.7,170.8,84.1,88.6,159.4,282.0,205.2,101.4,49.7,193.2,133.4,96.3,164.5,149.5,35.3,253.0,91.6,138.5,425.3,265.1,208.2,460.0,395.6,333.1,473.4,105.9,79.0,40.0,394.3,128.0,434.7,123.3,98.1,65.5,445.4,175.2,193.2,120.5,480.8,474.7,169.0,565.1,421.9,277.5,0.0,118.5,455.6,43.3,504.2,244.5,161.1,350.8,545.7,120.1,114.2
VL,348.2,120.8,215.1,153.9,539.5,127.5,218.5,504.1,306.1,270.3,273.0,331.2,326.8,266.7,285.0,195.9,323.9,445.9,528.6,224.4,217.2,508.8,96.7,238.4,313.2,89.6,540.5,507.3,158.1,470.5,1399.3,192.0,205.2,576.0,231.4,483.4,131.8,311.2,187.6,589.0,62.4,277.5,181.0,81.8,258.6,411.1,80.4,48.9,108.6,250.9,80.9,31.9,141.2,256.2,146.7,359.7,216.3,210.1,558.1,157.7,294.4,517.7,453.3,462.2,531.1,163.6,140.7,136.5,555.3,230.9,492.4,222.5,114.8,83.7,574.5,320.4,173.3,202.7,513.2,600.6,256.8,592.4,479.6,170.1,132.7,0.0,583.7,140.2,600.7,161.3,38.8,479.9,608.5,228.0,219.7
VT,573.8,714.1,744.5,694.9,327.0,754.9,658.5,354.9,580.8,545.0,524.2,317.8,601.5,614.1,535.4,693.4,598.6,297.5,211.0,574.0,657.2,296.3,647.7,660.7,261.3,655.9,222.9,305.6,661.9,198.3,1279.3,632.0,712.8,117.5,653.7,212.0,743.1,589.9,706.4,137.0,639.8,609.3,680.2,683.3,681.7,306.9,639.0,608.1,665.8,546.2,640.1,610.3,734.5,623.9,636.8,562.4,655.5,716.9,224.4,600.1,733.4,143.7,352.2,313.0,133.0,683.2,673.7,655.3,323.4,653.2,289.7,645.6,713.4,660.2,256.9,596.1,766.9,709.5,411.3,265.6,679.1,86.1,378.5,611.7,627.9,709.4,0.0,644.8,147.9,714.7,636.9,331.5,96.8,642.4,633.3
WA,209.4,100.7,190.2,50.0,504.8,141.5,80.6,440.5,168.2,132.4,165.5,233.4,188.9,130.7,177.5,55.6,186.0,382.3,465.0,116.9,79.3,474.1,88.6,127.2,413.1,96.0,476.9,468.3,17.8,435.8,1478.2,54.1,83.3,535.6,117.0,448.7,118.4,178.1,152.9,554.3,141.3,139.6,40.7,160.7,147.4,347.5,159.3,127.8,90.0,128.4,159.8,110.8,121.1,118.3,8.8,221.8,78.4,88.2,494.5,221.7,199.9,483.0,418.6,398.6,496.4,128.9,20.8,117.9,453.9,119.7,457.7,111.3,114.2,100.3,510.9,183.0,153.5,67.5,478.5,536.6,145.6,588.1,444.9,234.8,68.8,78.8,520.1,0.0,566.5,201.1,117.7,416.3,597.8,108.1,99.8
WD,465.8,576.8,607.2,557.2,124.9,617.6,521.2,145.5,472.6,436.8,416.0,221.7,493.3,477.6,427.7,544.8,490.4,246.5,170.0,436.7,406.6,94.2,513.4,517.7,190.5,518.6,181.9,84.5,525.0,103.0,1289.6,494.7,562.5,128.3,504.2,115.9,605.8,477.7,569.9,141.3,607.3,471.0,529.9,546.0,531.4,165.2,568.9,556.0,528.5,372.2,566.7,575.1,597.2,486.6,499.5,454.2,519.0,574.3,199.5,526.7,583.9,70.0,132.1,262.8,83.4,545.9,544.4,518.8,150.5,503.7,69.6,495.3,576.9,522.9,159.7,486.9,624.5,560.0,192.0,44.9,541.0,162.0,158.4,539.1,491.4,568.0,170.7,507.5,0.0,677.2,601.7,121.3,171.7,492.1,486.2
WW,415.2,108.1,274.8,165.9,589.4,110.0,286.4,600.2,374.0,338.2,328.3,381.1,394.7,336.5,340.3,248.1,391.8,501.2,624.7,289.1,285.1,558.7,213.2,227.5,497.7,203.2,636.6,552.9,188.0,520.4,1410.8,259.9,217.2,620.2,221.9,533.3,132.5,383.9,237.5,638.9,113.3,345.4,233.2,195.4,197.2,466.4,138.0,168.7,158.5,300.8,194.5,145.5,87.7,324.1,214.6,427.6,277.5,222.1,654.2,195.2,167.7,567.6,503.2,517.5,581.0,213.5,208.6,186.4,595.6,242.9,542.3,187.1,182.7,197.3,670.6,388.8,66.9,201.4,563.1,696.3,162.2,672.7,529.5,208.3,207.8,165.3,679.8,206.0,651.1,0.0,170.4,576.0,682.4,295.9,287.6
XG,389.7,179.8,238.0,230.9,528.8,206.2,265.6,513.3,348.5,312.7,299.9,357.7,369.2,309.1,311.6,159.1,366.3,455.1,537.8,251.3,259.6,498.1,123.6,300.7,340.1,116.5,549.7,533.8,205.2,454.9,1353.1,239.1,270.7,585.7,287.2,422.2,208.8,353.6,218.7,604.4,141.1,319.9,228.1,146.9,314.4,444.5,161.6,116.7,155.7,277.4,128.0,108.9,200.2,298.6,191.3,402.1,240.7,282.5,549.7,83.2,366.9,493.8,429.4,471.4,507.2,194.7,187.8,183.6,509.1,286.7,518.9,278.3,161.9,110.6,583.5,362.8,232.6,268.2,480.7,609.4,312.6,553.5,455.7,95.6,170.0,175.9,592.7,187.3,616.1,240.0,0.0,489.1,569.6,275.1,266.8
YR,541.5,652.5,682.9,632.9,182.6,693.3,596.9,24.2,548.3,512.5,491.7,279.4,569.0,553.3,503.7,620.5,566.1,322.2,48.6,512.4,475.0,151.9,586.9,586.9,223.7,594.3,60.5,155.9,600.7,160.7,1347.3,570.4,638.2,180.3,576.7,173.6,670.2,558.2,645.6,199.0,634.8,546.8,605.6,621.7,607.1,240.9,634.8,603.1,604.2,440.6,635.1,650.8,672.9,562.3,575.2,529.9,594.7,643.1,78.1,595.1,659.6,127.7,207.8,338.5,141.1,621.6,601.7,594.5,216.6,579.4,145.3,571.0,652.6,598.6,94.5,563.1,700.2,622.4,267.7,120.2,605.3,219.7,234.1,608.2,567.1,643.7,103.7,583.2,211.2,752.9,677.4,0.0,229.4,567.8,559.5
YZ,512.3,620.0,650.4,600.4,168.1,664.1,564.4,198.4,515.8,480.0,459.2,264.9,546.2,520.8,480.9,609.8,536.9,280.3,193.8,489.6,449.8,137.4,554.4,554.4,233.7,561.8,209.0,131.0,568.2,146.2,1336.1,537.9,609.0,12.7,547.4,168.8,649.0,520.9,616.4,41.1,650.5,514.2,576.4,592.5,584.3,208.4,609.6,608.9,581.4,418.7,609.9,618.3,640.4,529.8,552.4,497.4,562.2,610.6,226.6,569.9,627.1,113.2,185.0,296.6,136.3,592.4,578.9,562.0,193.7,546.9,112.8,538.5,620.1,569.4,67.8,530.1,677.4,612.9,256.3,97.4,576.1,208.5,201.6,582.3,544.3,611.2,77.0,560.4,43.1,720.4,648.2,164.5,0.0,545.0,527.0
ZJ,238.0,97.7,203.3,65.0,517.9,138.5,109.2,469.1,196.8,161.0,194.1,262.0,217.5,159.3,206.1,52.6,214.6,410.9,493.6,145.5,107.9,487.2,117.2,149.5,426.2,165.5,505.5,481.4,32.8,448.9,1475.2,82.7,98.3,548.7,139.3,461.8,115.4,206.7,166.0,567.4,138.3,168.2,37.7,157.7,169.7,376.1,156.3,124.8,87.0,157.0,156.8,107.8,118.1,146.9,37.4,250.4,107.0,103.2,523.1,233.3,222.2,496.1,431.7,427.2,509.5,142.0,49.4,114.9,482.5,142.0,470.8,133.6,111.2,159.6,539.5,211.6,150.5,82.5,491.6,565.2,167.9,601.2,458.0,246.4,97.4,75.8,548.7,28.5,579.6,198.1,114.7,444.9,610.9,0.0,128.4
ZU,243.9,106.0,209.2,73.3,526.2,144.4,117.5,480.5,202.7,169.3,202.4,267.9,225.8,165.7,214.1,85.3,222.9,419.2,501.3,153.8,116.2,495.5,127.7,164.3,242.6,173.8,513.8,491.6,41.1,454.8,1483.5,91.0,106.6,562.7,148.4,470.1,132.6,210.2,171.9,575.7,146.6,176.5,46.0,166.0,178.0,384.4,167.1,130.7,92.9,162.9,162.7,113.7,126.4,155.2,43.3,258.7,115.3,118.4,512.9,241.6,228.1,504.4,440.0,433.1,515.4,150.3,76.1,123.2,498.0,147.9,479.1,141.9,117.1,167.9,547.8,217.0,156.4,101.7,525.2,577.1,187.6,609.5,466.3,251.6,134.2,81.7,558.0,36.8,585.0,206.4,120.6,453.2,616.8,8.3,0.0
