from_stop,AA,AL,AM,AS,AU,BA,BG,BN,BP,BQ,BV,BW,CP,CR,CT,CV,CW,DU,DZ,EL,EZ,FN,FS,FT,GI,GJ,GN,GP,GR,GU,GX,HD,HE,HP,HX,ID,IF,IM,IU,IX,JA,JE,JJ,JN,JS,JZ,KE,LG,LV,MM,ND,NM,NU,NW,NZ,OL,OP,OS,OT,OV,OX,OY,PK,PO,PX,QN,QQ,QR,QW,RA,RC,RF,RI,RT,RW,RZ,SE,SM,SO,SQ,TB,TD,TE,TI,TJ,TP,TW,TY,UL,UM,UV,VI,VL,VM,VN,VO,VW,WJ,WU,XB,XH,XV,YC,YG,YU,ZB,ZJ,ZR,ZV
OX,188.0,139.1,181.4,284.4,190.8,291.3,119.8,157.1,187.2,475.3,2030.2,445.9,143.9,203.0,168.5,82.3,273.3,290.8,463.7,181.0,218.0,53.2,121.8,607.1,651.0,140.8,463.7,454.0,206.0,454.3,532.6,478.0,651.0,239.7,160.3,390.8,231.2,172.8,102.2,114.7,149.2,168.6,32.9,156.4,369.4,148.8,330.4,150.5,463.1,372.8,257.4,158.9,441.4,301.9,507.7,600.2,473.4,304.1,251.8,479.2,0.0,393.7,497.2,164.0,269.2,485.8,170.1,476.1,117.8,208.4,202.2,169.9,151.0,354.4,200.7,492.3,233.1,142.8,311.7,61.9,317.4,467.1,450.5,185.4,173.9,325.7,123.0,459.0,300.1,181.8,333.2,98.4,571.4,284.7,156.3,131.1,323.3,51.0,235.9,149.5,139.3,320.6,625.0,242.5,269.7,241.2,438.2,120.1,151.3
OY,368.4,302.5,468.6,85.2,476.1,92.1,407.0,414.4,406.9,199.9,2032.6,175.1,315.4,368.7,348.9,353.5,192.9,260.1,177.3,491.4,505.2,306.4,344.0,339.3,364.6,287.1,177.3,178.6,354.4,178.9,257.2,202.6,364.6,264.8,372.6,104.4,518.4,458.1,355.4,366.1,436.7,332.0,397.5,336.8,94.0,311.0,166.2,313.9,187.7,97.4,293.5,378.7,162.6,249.0,232.3,324.8,198.0,254.1,276.4,192.8,359.4,0.0,221.5,338.0,294.3,199.4,457.3,200.7,281.2,420.7,490.2,275.8,404.2,100.8,411.2,216.9,520.3,430.0,336.8,383.5,42.0,191.7,184.3,434.4,297.8,106.8,355.9,183.6,382.6,283.1,273.4,331.4,296.0,91.4,319.7,385.3,47.9,401.0,360.9,349.0,351.6,224.3,338.6,339.6,317.3,526.5,162.8,330.0,371.0
PK,547.5,471.7,637.8,264.3,645.3,271.2,576.2,583.6,586.0,126.5,2182.6,231.8,494.5,568.9,528.0,522.7,408.6,321.4,292.1,637.4,674.4,475.6,544.2,280.4,324.3,472.1,292.1,166.2,533.5,240.2,318.5,306.4,324.3,449.5,541.8,176.7,687.6,627.3,524.6,555.1,605.6,501.2,566.7,515.9,214.6,490.1,279.8,483.1,249.0,237.7,354.8,557.8,227.3,310.3,348.4,356.5,149.5,439.4,461.1,265.1,528.6,258.6,0.0,507.2,479.0,176.4,626.5,262.0,450.4,589.9,658.6,460.5,573.4,214.4,598.2,204.5,689.5,599.2,521.5,560.0,175.2,157.7,245.6,613.5,482.5,217.6,530.9,287.4,448.3,467.8,345.7,538.8,323.7,269.0,488.9,557.6,182.5,570.2,538.3,518.2,520.8,312.1,298.3,524.3,502.0,695.7,283.4,514.7,550.1
PO,268.0,147.6,234.5,379.8,241.1,386.7,172.9,192.2,287.2,570.7,2049.1,541.3,243.9,180.3,268.0,182.3,354.7,372.2,559.1,234.1,271.1,153.2,221.8,702.5,746.4,222.2,559.1,549.4,306.0,549.7,628.0,573.4,746.4,321.1,137.6,486.2,284.3,223.1,202.2,214.7,202.3,187.5,132.9,241.6,464.8,248.8,425.8,169.4,558.5,468.2,338.8,240.3,536.8,383.3,603.1,723.3,568.8,385.5,333.2,574.6,94.8,489.1,592.6,0.0,350.6,581.2,223.2,571.5,164.7,185.7,255.3,251.3,251.0,449.8,237.1,587.7,286.2,195.9,393.1,161.9,412.8,562.5,531.9,238.5,255.3,421.1,139.5,554.4,381.5,263.2,414.6,198.4,694.5,380.1,175.2,166.2,418.7,151.0,254.8,126.8,116.6,416.0,720.4,261.4,293.8,291.5,533.6,201.5,251.3
PX,287.4,148.7,314.8,245.6,322.3,252.5,253.2,260.6,304.6,436.5,2039.8,407.1,243.3,245.9,267.9,199.7,249.5,288.8,424.9,314.4,351.4,152.6,221.2,568.3,612.2,150.4,424.9,415.2,305.4,415.5,493.8,439.2,612.2,290.4,218.8,352.0,364.6,304.3,201.6,232.1,282.6,178.2,243.7,255.8,330.6,248.2,291.6,160.1,424.3,334.0,255.4,258.3,402.6,299.9,468.9,561.4,434.6,44.6,302.0,440.4,205.6,354.9,458.4,184.2,0.0,447.0,303.5,437.3,127.4,266.9,335.6,179.5,250.4,315.6,305.5,453.5,366.5,276.2,362.4,237.0,278.6,428.3,420.9,318.8,183.5,286.9,207.9,420.2,342.5,191.4,331.2,215.8,532.6,245.9,165.9,234.6,284.5,247.2,245.5,195.2,197.8,281.8,586.2,252.1,342.9,372.7,399.4,129.7,268.7
QN,395.3,337.5,495.5,112.1,511.1,127.1,433.9,441.3,433.8,242.3,2116.8,225.5,350.4,434.7,383.9,388.5,257.5,296.8,235.2,518.3,532.1,341.4,401.9,394.6,440.1,320.7,235.2,282.0,381.3,225.8,304.1,249.5,440.1,298.4,399.5,170.4,545.3,485.0,390.4,393.0,471.7,358.9,424.4,363.7,140.9,337.9,128.7,340.8,234.6,144.3,271.5,405.6,217.6,307.9,287.3,371.7,265.3,288.3,318.1,250.7,386.3,65.9,210.1,364.9,336.0,0.0,484.2,255.7,308.1,455.7,516.3,317.5,439.2,71.4,446.2,320.3,555.3,456.9,370.4,417.7,88.9,273.5,239.3,469.4,331.4,66.5,388.6,230.5,350.5,324.8,347.3,358.3,342.9,117.9,346.6,420.3,102.9,427.9,387.2,384.0,378.5,194.9,422.2,381.3,350.9,553.4,209.7,371.7,397.9
QQ,132.6,204.9,29.3,437.1,89.1,444.0,128.5,123.2,251.9,619.6,2022.6,598.6,128.4,255.6,132.6,216.9,412.0,429.5,616.4,79.3,62.9,219.6,139.9,759.8,803.7,279.5,616.4,606.7,190.5,607.0,685.3,630.7,803.7,378.4,212.9,543.5,129.5,71.1,190.5,202.2,47.5,244.8,199.3,106.2,522.1,133.3,483.1,226.7,615.8,525.5,396.1,104.9,594.1,440.6,660.4,780.6,642.6,442.8,390.5,631.9,165.2,546.4,579.3,218.1,407.9,669.5,0.0,628.8,222.0,106.9,47.1,308.6,164.7,507.1,30.5,645.0,78.0,41.1,450.4,176.9,470.1,650.8,589.2,15.2,312.6,478.4,113.7,611.7,438.8,320.5,471.9,210.9,751.8,437.4,232.5,86.8,476.0,187.1,312.1,125.8,191.9,473.6,777.7,318.7,351.1,139.5,590.9,258.8,216.0
QR,422.2,324.7,449.6,97.8,449.9,90.9,388.0,395.4,439.4,339.7,1975.9,314.9,378.1,389.1,402.7,334.5,148.6,73.6,261.9,472.4,486.2,287.4,356.0,408.5,427.0,211.8,261.9,318.4,440.2,179.0,56.4,276.2,427.0,189.5,346.4,255.2,499.4,431.9,336.4,366.9,417.4,313.0,378.5,390.6,233.8,383.0,263.7,287.7,327.5,237.2,107.0,393.1,305.8,62.5,287.0,380.0,337.8,178.8,201.1,258.5,340.4,258.1,381.2,319.0,219.0,350.2,438.3,0.0,329.6,394.5,470.4,200.5,385.2,287.7,440.3,356.7,501.3,411.0,261.5,371.8,181.8,331.5,188.6,453.6,222.5,209.2,336.9,257.2,200.5,213.4,97.9,350.6,351.2,218.0,300.7,369.4,187.7,382.0,289.6,330.0,325.4,301.0,401.0,273.3,246.0,500.3,302.6,254.7,403.5
QW,249.3,21.3,215.8,215.0,225.2,221.9,154.2,173.5,245.6,405.9,1952.0,376.5,184.3,179.6,249.3,140.7,189.9,207.4,394.3,215.4,252.4,93.6,162.2,537.7,581.6,57.4,394.3,384.6,246.4,384.9,463.2,408.6,581.6,156.3,136.9,321.4,265.6,207.2,142.6,173.1,183.6,90.4,159.8,222.9,300.0,189.2,261.0,72.3,393.7,303.4,174.0,221.6,372.0,218.5,438.3,558.5,404.0,220.7,168.4,409.8,125.7,324.3,427.8,97.1,185.8,416.4,204.5,406.7,0.0,185.0,236.6,86.5,191.4,285.0,218.4,422.9,267.5,177.2,228.3,188.8,248.0,397.7,367.1,219.8,90.5,256.3,120.8,389.6,216.7,98.4,249.8,156.8,529.7,215.3,78.1,147.5,253.9,177.9,193.7,108.1,115.9,251.2,555.6,159.3,186.3,275.6,368.8,36.7,209.7
RA,213.9,97.9,180.4,330.1,209.4,337.0,118.8,138.1,278.7,521.0,1999.4,496.2,209.7,148.6,213.9,173.8,305.0,322.5,509.4,203.2,217.0,144.7,213.3,651.2,696.7,172.5,509.4,499.7,271.8,500.0,578.3,523.7,696.7,271.4,105.9,436.5,230.2,191.4,193.7,206.2,148.5,137.8,124.4,187.5,415.1,214.6,376.1,119.7,508.8,418.5,289.1,186.2,483.7,333.6,553.4,673.6,519.1,335.2,283.5,524.9,90.3,332.0,542.9,111.1,300.9,523.4,169.1,521.8,115.0,0.0,201.2,201.6,242.5,400.1,175.1,538.0,232.1,141.8,343.4,153.4,363.1,512.8,482.2,184.4,205.6,368.6,85.4,504.7,331.8,213.5,364.9,189.9,644.8,330.4,125.5,112.1,369.0,142.5,212.4,72.7,84.9,366.3,670.7,211.7,244.1,259.8,483.9,151.8,242.8
RC,158.7,246.8,133.3,454.7,193.9,461.6,155.4,150.1,278.8,646.5,2044.5,620.8,155.3,296.7,159.5,243.8,453.1,471.4,633.2,207.3,15.8,246.5,166.0,785.0,820.5,322.8,633.2,624.3,217.4,624.6,702.9,648.3,820.5,420.3,254.0,560.3,234.3,175.9,217.4,229.1,152.6,286.7,226.2,133.1,539.7,160.2,499.9,268.6,633.4,543.1,438.0,131.8,608.3,482.5,678.0,770.5,669.5,484.1,432.4,648.7,192.1,456.6,606.2,260.0,449.8,687.5,104.7,645.6,263.9,210.9,0.0,349.7,191.6,524.7,68.9,662.6,30.9,145.9,491.5,196.5,487.7,677.7,631.1,89.6,353.7,493.2,146.1,629.3,476.3,361.6,513.8,237.0,740.9,455.0,274.4,116.8,493.6,214.0,361.3,152.7,233.8,500.5,794.5,360.6,393.0,244.3,608.5,300.7,242.9
RF,292.5,124.1,290.7,207.3,249.3,200.4,229.1,248.4,309.7,449.8,1936.1,387.1,248.4,188.5,273.0,204.8,111.0,128.5,361.5,313.5,327.3,157.7,226.3,517.3,526.6,38.9,361.5,427.9,310.5,278.6,359.4,375.8,526.6,77.4,145.8,364.7,340.5,231.3,206.7,237.2,258.5,123.2,234.7,260.9,343.3,253.3,242.7,87.1,404.3,346.7,95.1,263.4,379.2,139.6,386.6,479.6,447.3,141.8,96.6,358.1,200.6,260.2,409.5,172.0,106.9,459.7,279.4,417.3,129.0,193.9,312.3,0.0,255.5,266.7,285.4,466.2,342.4,252.1,149.4,242.1,291.3,441.0,288.2,294.7,29.6,235.2,195.7,356.8,155.8,37.5,170.9,220.9,450.8,197.0,110.9,219.3,297.2,252.3,114.4,183.0,124.8,280.0,500.6,72.7,125.4,299.7,412.1,81.8,273.8
RI,98.3,228.2,180.4,353.6,189.8,360.5,118.8,156.1,177.7,544.5,2050.9,515.1,54.2,278.9,78.8,142.7,357.5,396.8,532.9,180.0,217.0,194.7,65.6,676.3,720.2,272.1,532.9,523.2,116.3,523.5,601.8,547.2,720.2,398.4,236.2,460.0,230.2,171.8,116.2,128.0,148.2,268.1,156.4,66.7,438.6,59.1,399.6,250.0,532.3,442.0,363.4,47.1,510.6,407.9,576.9,669.4,542.6,388.3,410.0,548.4,173.5,462.9,554.4,241.4,427.9,555.0,169.1,545.3,245.3,207.6,201.2,301.2,0.0,423.6,149.0,561.5,232.1,141.8,470.4,102.6,386.6,536.3,528.9,184.4,305.2,394.9,122.0,528.2,431.4,313.1,439.2,136.7,640.6,353.9,255.8,130.1,392.5,112.8,335.4,134.1,215.2,448.7,694.2,342.0,374.4,240.2,507.4,251.4,141.8
RT,427.6,361.7,527.8,144.4,535.3,151.3,466.2,473.6,466.1,313.8,2111.8,249.7,374.6,458.9,408.1,412.7,283.1,322.4,267.5,527.4,564.4,365.6,434.2,410.9,454.8,346.6,267.5,257.8,413.6,258.1,336.4,281.8,454.8,324.0,431.8,194.6,577.6,517.3,414.6,425.3,495.6,391.2,456.7,396.0,173.2,370.2,65.3,373.1,266.9,176.6,289.0,437.9,245.2,328.2,311.5,404.0,336.8,313.9,335.6,283.0,418.6,197.5,273.5,397.2,353.5,363.7,516.5,279.9,340.4,479.9,548.6,335.0,463.4,0.0,478.3,296.1,579.5,489.2,396.0,450.0,121.2,345.0,263.5,493.6,357.0,133.9,420.9,262.8,376.1,342.3,363.6,390.6,375.2,150.6,378.9,447.6,127.1,460.2,412.8,408.2,410.8,254.2,428.8,398.8,376.5,585.7,242.0,389.2,430.2
RW,90.5,189.3,58.9,397.2,118.7,404.1,97.9,92.6,209.8,589.0,1987.0,563.3,97.8,240.0,102.0,186.3,396.4,413.9,576.5,132.1,92.5,189.0,97.8,727.5,752.3,265.3,576.5,566.8,159.9,555.6,645.4,590.8,752.3,362.8,197.3,492.1,159.1,100.7,159.9,171.6,77.4,229.2,168.7,75.6,482.2,102.7,431.7,211.1,575.9,485.6,380.5,74.3,550.8,425.0,620.5,713.0,612.0,426.6,363.4,592.0,134.6,399.1,548.7,202.5,392.3,619.3,29.5,577.4,206.4,136.5,77.5,281.5,134.1,467.2,0.0,605.1,107.6,70.7,434.8,139.0,430.2,620.2,573.6,23.1,297.0,435.7,88.6,571.8,418.8,293.4,456.3,168.8,672.7,397.5,216.9,59.3,436.1,156.5,303.8,95.2,176.3,443.0,737.8,291.6,335.5,169.1,539.5,243.2,185.4
RZ,514.4,472.9,614.6,231.2,598.1,238.1,553.0,560.4,552.9,194.8,1994.3,132.2,461.4,537.3,494.9,499.5,296.8,221.8,106.1,614.2,651.2,452.4,521.0,272.7,316.6,360.3,106.1,119.6,500.4,140.6,218.9,120.4,316.6,337.7,494.6,84.0,664.4,580.1,501.4,512.1,582.4,478.0,543.5,482.8,168.2,457.0,283.1,435.9,149.4,198.6,255.2,524.7,127.7,210.7,150.1,302.1,192.9,327.6,349.3,121.6,505.4,219.5,236.3,484.0,367.2,205.3,603.3,162.4,427.2,542.7,635.4,348.7,550.2,264.8,565.1,0.0,666.3,576.0,409.7,536.8,142.1,186.6,146.0,580.4,370.7,274.4,507.7,101.4,348.7,361.6,246.1,477.4,273.3,237.4,465.7,534.4,136.1,547.0,430.5,495.0,473.6,388.3,290.6,421.5,394.2,648.5,203.8,402.9,517.0
SE,128.6,215.9,103.2,423.8,163.0,430.7,124.5,119.2,247.9,615.6,2013.6,585.3,124.4,266.6,128.6,212.9,423.0,440.5,603.1,153.2,136.8,215.6,135.9,746.5,790.4,290.5,603.1,593.4,186.5,593.7,672.0,617.4,790.4,389.4,223.9,530.2,203.4,145.0,186.5,198.2,121.4,255.8,195.3,102.2,508.8,129.3,469.8,237.7,602.5,512.2,407.1,100.9,580.8,451.6,647.1,739.6,638.6,453.8,401.5,618.6,161.2,533.1,575.3,229.1,418.9,665.5,73.8,615.5,233.0,180.8,121.0,319.6,160.7,493.8,44.2,631.7,0.0,115.0,461.4,172.9,456.8,646.8,600.2,59.5,323.6,465.1,109.7,598.4,449.8,331.5,482.9,206.9,710.8,424.1,243.5,82.8,462.7,183.1,323.1,121.8,202.9,469.6,764.4,329.7,362.1,213.4,577.6,269.8,212.0
SM,252.6,163.7,164.6,395.9,47.9,402.8,184.6,203.9,344.5,586.8,1981.4,557.4,248.4,214.4,252.6,239.6,370.8,388.3,575.2,38.1,198.2,210.5,259.9,718.6,762.5,238.3,575.2,565.5,310.5,565.8,644.1,589.5,762.5,337.2,171.7,502.3,88.3,29.9,259.5,272.0,6.3,203.6,190.2,226.2,480.9,253.3,441.9,185.5,574.6,484.3,354.9,224.9,552.9,399.4,619.2,739.4,584.9,401.6,349.3,590.7,156.1,505.2,608.7,176.9,366.7,597.3,135.2,587.6,180.8,65.7,182.4,267.4,284.7,465.9,154.9,603.8,213.3,0.0,409.2,219.2,428.9,578.6,548.0,139.6,271.4,437.2,151.2,570.5,397.6,279.3,430.7,255.7,710.6,396.2,191.3,177.9,434.8,208.3,270.9,138.5,150.7,432.1,736.5,277.5,309.9,98.3,549.7,217.6,308.6
SO,337.1,196.4,338.6,175.5,321.6,168.6,277.0,296.3,354.3,418.0,1945.7,355.3,293.0,260.8,317.6,249.4,79.2,96.7,329.7,361.4,375.2,202.3,270.9,485.5,494.8,83.5,329.7,396.1,355.1,246.8,327.6,344.0,494.8,61.2,218.1,332.9,388.4,303.6,251.3,281.8,306.4,195.5,282.6,305.5,311.5,297.9,210.9,159.4,372.5,314.9,63.3,308.0,347.4,107.8,354.8,447.8,415.5,109.4,72.8,326.3,248.5,228.4,377.7,219.9,90.7,427.9,327.3,385.5,201.3,266.2,360.2,72.2,300.1,234.9,333.3,434.4,390.3,300.0,0.0,286.7,259.5,409.2,256.4,342.6,94.2,203.4,243.6,325.0,194.6,85.1,139.1,265.5,419.0,165.2,183.2,267.2,265.4,296.9,186.7,230.9,197.1,248.2,468.8,145.0,164.2,372.0,380.3,126.4,318.4
SQ,136.5,167.2,85.0,323.2,128.8,330.1,57.8,95.1,226.0,514.1,2069.0,489.3,166.7,183.5,170.9,121.1,312.1,329.6,544.3,142.2,156.0,92.0,160.6,653.5,689.8,181.0,544.3,492.8,228.8,493.1,571.4,516.8,689.8,278.5,140.8,429.6,169.2,110.8,141.0,153.5,87.5,207.4,53.7,144.5,408.2,171.6,369.2,189.3,501.9,411.6,296.2,143.2,476.8,340.7,546.5,639.0,512.2,342.3,290.6,518.0,138.3,325.1,603.6,184.8,308.0,516.5,108.1,514.9,184.3,112.2,141.0,208.7,189.8,393.2,132.1,531.1,171.1,80.8,378.3,0.0,356.2,505.9,489.3,89.0,240.5,361.7,66.5,497.8,334.5,248.4,372.0,137.2,610.2,323.5,195.1,66.0,362.1,10.2,282.0,73.1,160.1,497.9,705.6,281.3,308.5,179.2,477.0,158.9,190.1
TB,372.2,306.3,472.4,89.0,479.9,95.9,410.8,418.2,410.7,157.8,1990.5,128.4,319.2,403.5,352.7,357.3,227.7,218.0,146.2,472.0,509.0,310.2,378.8,289.6,333.5,291.2,146.2,136.5,358.2,136.8,215.1,160.5,333.5,268.6,376.4,73.3,522.2,461.9,359.2,369.9,440.2,335.8,401.3,340.6,51.9,314.8,140.9,317.7,145.6,55.3,251.4,382.5,123.9,206.9,190.2,282.7,155.9,258.5,280.2,161.7,363.2,76.2,199.3,341.8,298.1,168.3,461.1,158.6,285.0,424.5,493.2,279.6,408.0,122.6,422.9,174.8,524.1,433.8,340.6,394.6,0.0,149.6,142.2,438.2,301.6,132.2,365.5,141.5,344.9,286.9,242.3,335.2,253.9,95.2,323.5,392.2,5.8,404.8,357.4,352.8,355.4,246.1,307.5,343.4,321.1,530.3,120.7,333.8,374.8
TD,414.0,348.1,514.2,130.8,521.7,137.7,452.6,460.0,452.5,261.0,2135.5,236.1,361.0,445.3,394.5,399.1,276.2,315.5,253.9,513.8,550.8,352.0,420.6,414.9,458.8,339.7,253.9,300.7,400.0,244.5,322.8,268.2,458.8,317.1,418.2,181.0,564.0,503.7,401.0,411.7,482.0,377.6,443.1,382.4,159.6,356.6,147.4,359.5,253.3,163.0,282.1,424.3,231.6,326.6,297.9,390.4,284.0,307.0,328.7,269.4,405.0,183.9,220.7,383.6,346.6,18.6,502.9,266.3,326.8,466.3,535.0,328.1,449.8,82.0,464.7,339.0,565.9,475.6,389.1,436.4,107.6,0.0,249.9,480.0,350.1,85.2,407.3,249.2,369.2,335.4,357.9,377.0,361.6,136.6,365.3,434.0,113.5,446.6,405.9,394.6,397.2,205.5,432.8,391.9,369.6,572.1,228.4,382.3,416.6
TE,489.0,391.5,516.4,181.4,516.7,174.5,454.8,462.2,506.2,220.1,1912.9,143.5,444.9,455.9,469.5,401.3,215.4,140.4,111.9,516.0,553.0,354.2,422.8,257.7,276.5,278.9,111.9,149.6,507.0,59.2,140.0,126.2,276.5,256.3,413.2,109.3,566.2,498.7,403.2,433.7,484.2,379.8,445.3,457.4,186.2,449.8,330.5,354.5,160.7,209.9,173.8,459.9,139.0,129.3,137.0,229.5,218.2,246.2,267.9,108.5,407.2,230.8,261.6,385.8,285.8,230.6,505.1,173.7,396.4,461.3,537.2,267.3,452.0,290.1,507.1,187.9,568.1,477.8,328.3,438.6,167.4,211.9,0.0,520.4,289.3,325.8,409.5,107.2,267.3,280.2,164.7,417.4,200.7,284.8,367.5,436.2,161.4,448.8,349.1,396.8,392.2,367.8,250.5,340.1,312.8,567.1,215.1,321.5,470.3
TI,117.3,204.6,43.6,412.5,103.4,419.4,113.2,107.9,236.6,604.3,2002.3,578.6,113.1,255.3,117.3,201.6,411.7,429.2,591.8,116.8,77.2,204.3,124.6,733.6,779.1,280.6,591.8,582.1,175.2,582.4,660.7,606.1,779.1,378.1,212.6,518.9,143.8,85.4,175.2,186.9,61.8,244.5,184.0,90.9,497.5,118.0,458.5,226.4,591.2,500.9,395.8,89.6,569.5,440.3,635.8,728.3,627.3,441.9,390.2,607.3,149.9,521.8,564.0,217.8,407.6,646.1,14.2,604.2,221.7,121.2,61.4,308.3,149.4,482.5,26.7,620.4,92.3,55.4,450.1,161.6,445.5,635.5,588.9,0.0,312.3,451.0,98.4,587.1,434.1,320.2,471.6,195.6,699.5,412.8,232.2,74.6,451.4,171.8,319.1,110.5,191.6,458.3,753.1,318.4,350.8,153.8,566.3,258.5,200.7
TJ,297.8,175.1,299.3,230.6,300.3,223.7,237.7,257.0,315.0,473.1,1927.4,410.4,253.7,239.5,278.3,210.1,134.3,151.8,384.8,322.1,335.9,163.0,231.6,487.4,496.7,44.5,384.8,451.2,315.8,301.9,382.7,399.1,496.7,100.7,196.8,388.0,349.1,282.3,212.0,242.5,267.4,174.2,243.3,266.2,366.6,258.6,266.0,138.1,427.6,370.0,118.4,268.7,402.5,162.9,409.9,449.7,470.6,164.5,98.8,381.4,209.2,390.9,432.8,180.6,130.2,483.0,288.0,440.6,180.0,244.9,320.1,50.9,260.8,290.0,294.0,489.5,351.0,260.7,172.7,240.1,314.6,464.3,311.5,303.3,0.0,258.5,198.5,380.1,142.7,28.8,194.2,226.2,420.9,220.3,161.9,227.9,320.5,257.6,160.3,191.6,175.8,303.3,470.7,123.7,116.7,350.7,435.4,87.1,279.1
TP,361.4,377.8,464.4,136.4,503.0,143.3,402.8,410.2,402.7,265.6,2061.0,246.3,311.2,392.7,344.7,349.3,201.7,241.0,259.5,487.2,501.0,302.2,368.0,427.1,466.2,264.9,259.5,249.8,350.2,250.1,328.4,273.8,466.2,242.6,396.7,186.6,514.2,485.0,351.2,361.9,432.5,327.8,393.3,332.6,165.2,306.8,97.0,340.8,258.9,168.6,207.6,374.5,233.8,252.1,303.5,396.0,288.6,231.9,251.4,275.0,355.2,82.1,225.3,333.8,272.1,307.4,453.1,274.7,277.0,444.8,486.0,250.8,400.0,45.0,407.0,288.1,516.1,425.8,314.6,379.3,113.2,296.8,255.5,427.4,272.8,0.0,351.7,254.8,290.3,258.1,280.6,324.4,370.0,51.3,315.5,381.1,119.1,396.8,338.7,344.8,378.5,170.5,440.2,314.6,295.1,553.4,234.0,307.8,366.8
TW,128.4,106.1,100.7,338.3,104.3,345.2,33.3,52.6,234.3,529.2,2007.6,504.4,124.2,156.8,128.4,134.9,313.2,330.7,512.1,117.7,131.5,105.8,141.5,668.6,704.9,182.1,512.1,507.9,186.3,508.2,586.5,531.9,704.9,279.6,108.6,444.7,144.7,86.3,154.8,167.3,63.0,146.0,85.5,102.0,423.3,129.1,384.3,127.9,517.0,426.7,297.3,100.7,491.9,341.8,561.6,681.8,527.3,343.4,291.7,533.1,51.4,340.2,561.1,119.3,309.1,526.1,83.6,530.0,123.2,122.1,116.5,209.8,160.5,408.3,89.6,546.2,146.6,56.3,346.1,148.9,371.3,521.0,490.4,104.7,208.3,376.8,0.0,512.9,335.6,216.2,373.1,145.5,653.0,338.6,133.7,23.5,377.2,103.6,220.6,12.1,93.1,455.4,673.4,219.9,252.3,154.7,492.1,160.0,211.8
TY,586.4,572.2,686.6,303.2,697.4,310.1,625.0,632.4,624.9,266.8,2073.9,204.2,533.4,636.6,566.9,571.5,396.1,321.1,4.7,686.2,723.2,524.4,593.0,209.5,253.4,459.6,4.7,191.6,572.4,212.6,290.9,18.9,253.4,437.0,593.9,156.0,736.4,679.4,573.4,584.1,654.4,550.0,615.5,554.8,240.2,529.0,355.1,535.2,221.4,270.6,354.5,596.7,199.7,310.0,198.5,198.8,264.9,426.9,448.6,159.5,577.4,291.5,308.3,556.0,466.5,277.3,675.3,234.4,577.1,642.0,707.4,448.0,622.2,336.8,637.1,229.9,738.3,648.0,509.0,608.8,214.1,258.6,262.5,652.4,470.0,346.4,579.7,0.0,448.0,460.9,345.4,549.4,170.0,309.4,537.7,606.4,208.1,619.0,529.8,567.0,572.9,460.3,227.4,520.8,493.5,747.8,275.8,502.2,589.0
UL,401.2,295.1,418.3,188.1,420.3,191.8,358.4,365.8,408.1,423.2,2015.2,354.2,348.2,357.8,381.7,304.9,117.3,119.9,352.9,442.8,456.6,257.8,324.7,518.4,516.3,182.2,352.9,357.7,387.2,268.3,350.8,367.2,516.3,159.9,315.1,292.8,469.8,402.3,306.8,337.3,388.1,283.4,348.9,369.6,273.1,343.8,214.4,258.1,366.8,276.5,86.5,363.5,341.7,131.0,378.0,471.0,377.1,149.2,169.8,347.8,310.8,190.0,382.9,289.4,189.4,387.8,408.7,378.1,300.0,363.2,441.6,169.2,355.6,240.1,402.8,396.0,471.7,381.4,230.2,334.9,221.1,370.8,279.6,424.0,192.9,208.6,307.3,348.2,0.0,182.1,160.6,321.0,440.5,170.4,271.1,336.7,227.0,352.4,285.4,300.4,295.8,253.4,490.3,242.0,249.3,470.7,340.2,225.1,373.9
UM,298.3,175.6,299.8,217.1,300.8,210.2,238.2,257.5,315.5,459.0,1898.5,396.9,254.2,240.0,278.8,210.6,120.8,138.3,371.3,322.6,336.4,163.5,232.1,449.3,467.8,44.7,371.3,437.7,316.3,288.4,369.2,385.6,467.8,101.2,197.3,374.5,349.6,282.8,212.5,243.0,267.9,216.8,243.8,266.7,353.1,259.1,251.9,138.6,414.1,356.5,104.9,269.2,389.0,149.4,396.4,420.8,457.1,151.0,69.9,367.9,209.7,270.0,418.7,181.1,130.7,461.4,288.5,427.1,180.5,245.4,320.6,51.4,261.3,275.9,294.5,476.0,351.5,261.2,173.2,240.6,301.1,450.8,298.0,303.8,41.4,244.4,199.0,366.6,113.8,0.0,180.7,226.7,392.0,206.2,162.4,228.4,307.0,258.1,131.4,192.1,176.3,289.2,441.8,110.1,87.8,351.2,421.9,87.6,279.6
UV,412.2,272.2,413.7,208.2,397.4,211.9,352.1,371.4,429.4,443.3,1917.9,369.7,368.1,324.5,392.7,324.5,139.1,140.0,373.0,436.5,450.3,277.4,346.0,529.3,538.1,158.6,373.0,377.8,430.2,290.1,370.9,387.3,538.1,191.1,293.9,314.6,463.5,379.4,326.4,356.9,381.8,277.0,357.7,380.6,293.2,373.0,236.2,235.2,386.9,296.6,106.6,383.1,361.8,151.1,398.1,491.1,397.2,169.9,155.0,369.6,323.6,210.1,403.0,295.0,220.6,409.6,402.4,399.9,277.1,342.0,434.5,165.3,375.2,260.2,416.3,416.1,465.4,375.1,263.1,361.8,241.2,390.9,299.7,417.7,155.3,228.7,312.9,368.3,98.1,113.8,0.0,340.6,462.3,190.5,288.3,345.4,247.1,372.0,184.3,306.0,272.9,273.5,512.1,170.3,148.0,447.8,362.0,201.5,393.5
