from_stop,AA,AB,AE,AN,AO,AR,AV,BC,BD,BP,BY,CB,CG,CS,CX,DA,DP,EA,EC,ED,EO,EV,EW,EZ,FG,FX,GM,GR,GS,GT,HH,HO,HV,IC,II,IK,IU,JD,JJ,JP,JQ,JS,JZ,KH,KS,LF,LN,MS,MU,MY,MZ,NA,NJ,NS,NZ,OF,OM,ON,PF,PQ,PS,QJ,QQ,QZ,RB,RK,RN,RR,RT,SO,SU,SW,TJ,TO,UK,UR,VC,VN,WL,XS,YA,YH,YN,ZC,ZE,ZG,ZK,ZM,ZQ,ZS,ZV
TJ,2209.7,2060.0,2110.5,2139.0,1999.4,2090.9,2127.6,1959.0,2004.1,2078.2,2048.9,2219.7,2086.6,2056.1,2190.5,2183.3,2194.4,1929.2,2127.1,2063.8,2086.7,2048.5,2210.2,2060.8,2115.5,2076.1,2105.5,2039.9,2042.7,2157.0,2183.0,2167.4,1927.5,2030.2,2039.9,2090.4,2041.6,1902.1,2185.3,2179.8,2050.4,2194.7,2029.6,2222.8,2172.3,2008.8,2189.5,2144.8,2104.7,2143.3,2080.8,2112.6,2191.0,2215.2,2079.9,2148.9,2221.2,2239.4,2208.4,2260.8,2029.0,2235.6,1932.9,2122.1,2225.1,2065.8,2111.2,2155.1,2151.0,2194.7,2277.6,2011.0,0.0,2028.7,2173.1,2015.5,2200.5,2125.2,2185.6,2087.9,2038.7,1924.7,2016.8,2203.4,2050.9,2179.8,2042.0,2151.9,2129.9,2037.7,1998.5
TO,278.2,141.3,191.8,210.7,182.6,172.2,149.4,183.4,117.4,210.5,257.0,288.2,167.9,140.4,262.2,251.8,236.8,153.5,191.3,148.7,235.9,161.2,281.9,32.0,137.3,157.4,254.7,121.2,124.0,203.2,283.1,209.8,157.2,169.0,121.2,90.5,12.8,198.1,257.0,251.5,131.7,274.0,114.5,298.2,213.9,164.7,270.8,154.8,186.0,215.0,52.0,198.1,233.4,290.6,151.6,230.2,289.7,307.9,283.0,318.0,142.3,311.0,193.5,207.6,285.5,126.7,192.5,234.4,172.8,274.0,311.1,124.3,2101.8,0.0,244.8,198.7,275.9,206.5,260.2,169.2,152.0,185.3,98.1,271.9,81.9,251.5,123.3,252.0,216.5,373.2,163.7
UK,167.8,183.8,138.6,52.6,288.6,132.4,199.2,289.4,223.4,421.7,318.4,177.8,130.2,345.2,68.9,141.4,224.5,259.5,157.2,352.9,297.3,222.6,168.3,402.2,187.1,157.8,316.1,167.0,184.2,131.3,159.2,197.5,263.2,373.2,167.0,162.0,383.0,304.1,63.7,137.9,191.9,77.1,318.7,120.8,263.7,226.1,217.6,174.9,115.4,101.4,422.2,133.6,221.1,128.2,117.4,177.0,179.3,197.5,248.5,151.7,248.3,138.9,299.5,125.6,258.5,137.4,107.4,133.7,222.6,77.1,88.7,230.3,2207.8,370.1,0.0,259.0,141.9,90.5,225.7,155.3,258.0,291.3,161.6,161.5,290.9,137.9,137.1,273.7,491.9,423.0,269.7
UR,344.3,170.8,234.5,273.6,11.6,222.9,265.8,47.9,46.7,238.0,178.0,354.3,192.6,168.5,325.1,317.9,311.0,85.1,241.5,176.2,156.5,136.3,344.8,129.3,253.7,200.1,175.3,199.4,186.0,273.6,273.3,288.1,98.3,196.5,199.4,228.6,276.1,133.2,306.8,314.4,178.7,296.0,142.0,320.9,330.3,96.6,313.5,261.4,228.7,277.9,149.3,213.9,309.8,313.3,221.9,275.8,355.8,374.0,306.5,354.1,71.6,333.7,83.9,223.4,341.7,201.6,235.2,256.4,289.2,296.0,333.1,59.6,2036.9,263.2,307.7,0.0,298.6,249.2,283.7,211.9,81.3,101.4,155.0,338.0,114.2,314.4,180.2,250.0,242.8,222.0,46.2
VC,232.8,150.9,150.7,96.2,240.8,176.0,242.8,273.9,239.1,465.3,194.0,242.8,173.8,360.9,100.5,185.0,268.1,270.2,200.8,368.6,155.9,192.7,211.9,445.8,230.7,144.1,174.7,180.1,166.1,174.9,25.0,241.1,283.4,388.9,180.1,205.6,426.6,299.0,89.9,181.5,161.0,84.4,334.4,22.2,307.3,211.2,229.7,218.5,126.9,145.0,465.8,107.2,264.7,14.6,161.0,192.0,222.9,262.5,97.3,55.4,264.0,35.0,249.7,116.7,261.3,178.6,133.4,56.3,266.2,80.3,77.0,252.0,2128.6,413.7,115.1,229.1,0.0,134.1,74.5,133.6,273.7,267.2,205.2,205.1,306.6,181.5,180.7,177.1,534.3,459.2,264.7
VN,96.7,104.6,48.0,44.0,237.4,71.3,146.1,236.3,170.3,368.6,265.3,106.7,77.1,291.5,95.5,70.3,186.4,196.9,101.9,299.8,161.9,169.5,97.2,349.1,134.0,61.4,180.7,97.4,131.1,60.2,178.0,163.5,210.1,320.1,97.4,108.9,329.9,251.0,90.3,66.8,112.5,123.0,265.6,136.1,210.6,173.0,127.0,108.7,24.8,30.3,369.1,43.0,184.6,143.5,64.3,89.3,108.2,126.4,157.9,162.2,195.2,154.2,246.4,35.0,164.2,81.9,16.8,83.4,197.7,118.9,160.1,183.2,2154.7,317.0,78.1,205.9,150.8,0.0,135.1,50.9,204.9,238.2,108.5,90.4,233.0,66.8,84.0,183.1,437.6,362.1,216.6
WL,212.7,119.4,119.2,140.4,224.3,133.1,262.1,261.2,212.1,403.4,272.0,222.7,159.2,333.3,145.3,186.3,302.4,238.7,208.1,341.6,170.5,176.2,213.2,294.7,250.0,112.6,189.3,148.6,134.6,176.2,153.7,275.4,251.9,361.9,148.6,224.9,445.9,292.8,105.2,182.8,129.5,94.4,307.4,107.5,326.6,179.7,198.2,224.7,95.4,146.3,314.7,75.7,299.0,114.9,180.3,160.5,224.2,242.4,22.7,133.6,237.0,125.6,263.8,85.2,280.2,197.9,101.9,54.8,313.7,90.3,131.5,225.0,2196.5,433.0,159.3,212.6,128.6,115.9,0.0,102.1,246.7,280.0,160.8,206.4,274.8,182.8,200.0,191.7,408.2,478.1,233.2
XS,134.0,68.0,22.5,81.3,185.6,30.9,174.4,186.4,120.4,311.7,202.6,144.0,57.6,242.2,132.8,107.6,176.0,156.5,108.7,249.9,181.5,106.8,134.5,203.0,162.3,10.4,200.3,46.4,81.2,97.5,162.7,149.0,160.2,270.2,46.4,137.2,358.2,201.1,126.3,104.1,88.9,115.5,215.7,128.6,238.9,110.3,101.5,126.4,16.7,67.6,223.0,35.5,172.6,136.0,92.6,60.9,145.5,163.7,150.4,159.5,145.3,146.7,196.5,27.5,201.5,112.6,23.2,75.9,197.8,115.5,152.6,127.3,2104.8,345.3,115.4,143.2,143.3,37.2,127.6,0.0,155.0,188.3,58.6,127.7,187.9,104.1,86.1,175.6,317.7,384.2,166.7
YA,294.1,157.2,207.7,226.6,243.4,188.1,165.3,241.0,242.0,156.6,330.9,304.1,183.8,86.5,278.1,267.7,252.7,211.2,207.2,94.8,334.8,314.6,297.8,47.9,153.2,173.3,353.6,137.1,139.9,219.1,299.0,225.7,209.5,115.1,137.1,106.4,194.7,184.1,272.9,267.4,147.6,289.9,60.6,314.1,229.8,274.9,286.7,170.7,201.9,230.9,67.9,214.0,249.3,306.5,167.5,246.1,305.6,323.8,298.9,333.9,160.9,326.9,214.9,223.5,301.4,142.6,208.4,250.3,188.7,289.9,327.0,248.9,2104.2,181.8,260.7,259.5,291.8,222.4,276.1,185.1,0.0,206.7,114.0,287.8,32.8,267.4,139.2,267.9,162.6,140.6,224.5
YH,331.7,158.2,221.9,261.0,74.6,202.3,241.8,34.2,118.3,317.9,124.1,341.7,180.0,229.0,312.5,305.3,298.4,43.4,231.1,236.7,161.9,123.7,332.2,213.6,229.7,187.5,180.7,154.1,173.4,261.0,227.2,271.4,41.7,257.0,154.1,204.6,214.5,31.7,294.2,301.8,166.1,283.4,202.5,267.0,306.3,84.0,300.9,248.8,216.1,265.3,233.6,201.3,295.0,259.4,209.3,260.3,343.2,361.4,252.6,305.0,143.2,279.8,8.1,210.8,329.1,180.0,222.6,243.8,265.2,283.4,321.8,125.2,1935.4,201.6,295.1,90.7,244.7,236.6,229.8,199.3,152.9,0.0,131.0,325.4,185.8,301.8,156.2,196.1,388.1,334.8,73.7
YN,192.8,39.8,93.6,122.1,126.9,74.0,110.7,127.7,61.7,253.0,221.9,202.8,69.7,182.9,173.6,166.4,177.5,97.8,110.2,191.2,200.8,126.1,193.3,144.3,98.6,59.2,219.6,23.0,22.5,140.1,245.4,150.5,101.5,211.5,23.0,73.5,294.5,142.4,168.4,162.9,30.2,174.5,157.0,187.6,175.2,129.6,172.6,127.9,87.8,126.4,164.3,92.4,174.1,195.0,63.0,132.0,204.3,222.5,209.4,218.5,86.6,205.7,137.8,101.9,208.2,48.9,94.3,134.9,134.1,174.5,211.6,68.6,2046.1,281.6,156.2,143.0,202.3,108.3,186.6,71.0,96.3,129.6,0.0,186.5,129.2,162.9,25.1,214.3,259.0,334.5,108.0
ZC,68.2,190.8,134.2,90.7,302.2,146.0,152.3,303.0,237.0,350.5,332.0,60.7,143.8,399.4,142.2,32.7,148.8,273.1,115.1,380.9,248.1,236.2,95.2,355.3,141.2,147.6,266.9,180.6,197.8,63.1,232.5,121.8,276.8,343.2,180.6,169.3,336.1,317.7,137.0,64.8,198.7,150.4,332.3,194.1,216.8,239.7,213.2,111.6,111.0,52.5,375.3,129.2,145.4,201.5,131.0,172.6,76.5,45.9,244.1,225.0,261.9,212.2,313.1,121.2,126.6,151.0,103.0,169.6,160.1,150.4,186.3,243.9,2221.4,323.2,124.8,272.6,215.2,86.1,221.3,137.1,271.6,304.9,175.2,0.0,304.5,64.8,150.7,269.3,433.9,324.5,283.3
ZE,419.5,265.0,320.3,344.0,217.2,300.7,241.3,208.1,209.1,128.5,298.0,424.7,296.4,53.6,395.5,393.1,328.7,160.7,288.0,66.7,306.7,281.7,420.0,128.7,234.0,281.1,320.7,249.7,252.5,295.1,393.3,312.3,176.6,82.2,249.7,187.2,161.8,156.0,390.3,384.8,257.9,370.7,32.5,440.9,267.0,242.0,394.5,251.5,314.5,353.1,148.7,322.4,325.3,433.3,289.7,361.6,426.2,449.2,426.5,409.9,128.0,458.5,182.0,331.9,377.4,273.2,321.0,326.3,264.7,361.8,384.4,226.8,2076.1,153.7,378.1,226.6,418.6,330.2,403.7,297.7,137.7,178.6,226.6,408.4,0.0,384.8,251.8,370.0,128.5,107.7,196.4
ZG,103.8,241.9,185.3,141.8,355.2,197.1,212.6,354.1,288.1,408.9,383.1,96.3,194.9,457.8,193.3,118.4,225.8,324.2,160.8,439.3,299.2,287.3,30.3,415.6,200.5,198.7,318.0,231.7,248.9,114.2,291.4,202.9,327.9,401.6,231.7,220.4,396.4,368.8,188.1,0.0,249.8,201.5,383.4,245.2,277.1,290.8,264.3,162.7,162.1,103.6,435.6,180.3,224.0,252.6,182.1,226.6,57.4,81.5,295.2,271.3,313.0,263.3,364.2,172.3,185.0,199.7,154.1,220.7,237.1,201.5,213.1,301.0,2272.5,383.5,175.9,323.7,266.3,137.2,272.4,188.2,322.7,356.0,226.3,80.7,355.6,0.0,201.8,320.4,491.1,382.9,334.4
ZK,167.6,64.3,100.4,96.9,151.4,80.8,85.5,152.2,86.2,308.0,241.5,177.6,76.5,207.4,148.4,141.2,152.3,122.3,85.0,215.7,220.4,145.7,168.1,288.5,73.4,66.0,239.2,29.8,47.0,114.9,238.7,125.3,126.0,236.0,29.8,48.3,269.3,166.9,143.2,137.7,54.7,156.6,181.5,200.3,150.0,149.2,179.4,102.7,94.6,101.2,308.5,116.9,148.9,207.7,37.8,138.8,179.1,197.3,228.3,231.2,111.1,218.4,162.3,105.4,183.0,23.7,101.1,153.8,108.9,156.6,168.2,93.1,2070.6,256.4,131.0,167.5,221.2,115.1,205.5,77.8,120.8,154.1,24.4,161.3,153.7,137.7,0.0,238.8,378.2,309.3,132.5
ZM,239.2,145.9,145.7,163.6,217.9,159.6,288.6,254.2,216.2,407.5,298.5,249.2,185.7,337.4,167.9,212.8,328.9,265.2,234.6,345.7,133.0,169.8,239.7,298.8,276.5,139.1,151.8,175.1,161.1,202.7,94.5,300.9,278.4,366.0,175.1,251.4,472.4,319.3,138.9,209.3,153.8,128.1,311.5,89.6,353.1,206.2,224.7,251.2,121.9,172.8,318.8,102.2,325.5,82.0,206.8,187.0,250.7,268.9,56.4,122.8,241.1,102.4,290.3,111.7,306.7,224.4,128.4,88.5,340.2,128.1,144.4,229.1,2223.0,459.5,182.5,206.2,67.3,142.4,33.6,128.6,250.8,306.5,187.3,232.9,278.9,209.3,226.5,0.0,412.3,504.6,259.7
ZQ,331.0,235.3,285.8,338.8,278.5,274.2,225.1,277.4,211.4,68.7,352.2,341.0,261.9,121.7,356.2,320.2,330.0,238.0,291.5,102.6,329.9,256.4,377.1,126.0,231.3,251.4,348.7,215.2,218.0,297.2,369.3,315.5,251.2,64.9,215.2,184.5,106.8,227.3,352.2,345.5,223.4,368.0,211.7,392.2,200.7,258.7,364.8,248.8,280.0,309.0,146.0,292.1,328.8,384.6,245.6,328.3,387.4,360.7,377.0,408.4,248.4,405.0,258.1,301.6,339.2,222.4,286.5,328.4,266.0,363.9,405.1,224.3,2036.0,93.9,338.8,292.7,369.9,300.5,354.2,263.2,256.9,249.9,192.1,343.7,177.1,345.5,217.3,346.0,0.0,28.2,257.7
ZS,343.9,207.0,257.5,276.4,250.2,237.9,215.1,249.1,183.1,40.4,322.7,353.9,233.6,196.7,327.9,317.5,302.5,209.7,257.0,178.8,301.6,226.9,347.6,97.7,203.0,223.1,320.4,186.9,189.7,268.9,341.0,275.5,222.9,141.1,186.9,156.2,78.5,303.5,322.7,317.2,195.1,339.7,180.2,363.9,227.2,230.4,336.5,220.5,251.7,280.7,117.7,263.8,299.1,356.3,217.3,298.8,355.4,373.6,348.7,378.9,208.0,376.7,259.2,273.3,351.2,194.1,258.2,300.1,238.5,335.6,353.4,196.0,2112.2,65.6,310.5,264.4,341.6,272.2,325.9,234.9,217.7,251.0,163.8,337.6,147.6,317.2,189.0,317.7,174.5,0.0,229.4
ZV,298.0,124.5,188.2,227.3,49.0,168.6,227.8,27.9,110.0,301.3,158.0,308.0,146.3,234.9,278.8,271.6,264.7,47.1,195.2,239.5,110.2,90.0,298.5,210.8,215.7,153.8,129.0,153.1,139.7,227.3,253.3,237.7,60.3,259.8,153.1,190.6,242.6,101.2,260.5,268.1,132.4,249.7,205.3,300.9,292.3,50.3,267.2,215.1,182.4,231.6,230.8,167.6,261.3,293.3,175.6,229.5,309.5,327.7,286.5,288.9,134.9,313.7,63.9,177.1,295.4,163.6,188.9,210.1,251.2,245.6,263.4,122.9,2004.9,229.7,261.4,63.2,278.6,202.9,263.7,165.6,144.6,88.4,117.0,291.7,172.7,268.1,142.2,230.0,306.1,285.3,0.0
